ID,Date,Time,First Name,Last Name,Credit Card Number,Currency,Category,Amount
757E7287-0B48-5D01-5EB0-AB46B8DFCACE,09-10-2023,01:01:05,Faith,Mathews,493613 178333 4976,GBP,Money In,453.77
0BC773D5-9493-3688-24A0-C8643CEC8636,19-10-2023,01:13:17,Demetrius,Sparks,633465 1827934864,GBP,Money In,130.88
7AE7C509-7A7E-DA49-DC57-FE11F13BE77D,10-10-2023,09:39:23,Simon,Velazquez,5893 451 42 1633,GBP,Money In,149.42
B4C12B78-8482-5A4D-6234-218725237B2A,28-10-2023,01:45:45,Walter,Parks,3737 822925 96287,GBP,Money Out,333.70
6D585AEC-06A4-EBC5-A766-44B06D4BB890,13-10-2023,12:00:28,Fitzgerald,Farley,453 95329 78837 775,GBP,Money Out,453.58
5D15EA1A-C18C-1A9C-139B-1C83B6C733AC,11-10-2023,02:39:41,Dean,Patterson,536661 333179 4534,GBP,Money Out,269.77
D3C87323-55C7-65B0-73B4-A65DA7160F8B,19-10-2023,12:05:26,Ruth,Carver,6767762537897279,GBP,Money In,935.83
6669B368-99A8-23CE-07A6-785D4D75EF67,03-10-2023,03:54:28,Amal,Boyd,670628885737357646,GBP,Money In,984.12
86D2850A-6DC5-25C9-5DDD-5B9F4379B82C,23-10-2023,02:41:39,Doris,Dyer,4175 0016 1653 5380,GBP,Money In,556.74
161BA986-AE1E-DE77-CD21-6B7DB991881D,14-10-2023,02:26:19,Madeline,Merritt,371673479414877,GBP,Money Out,748.39
35A524C7-BDB7-ACD9-8C66-956DCB3BD793,29-10-2023,02:13:25,Nero,Herring,300815585927245,GBP,Money Out,938.46
4491E05F-138F-77E3-AFBB-50C7234658EC,16-10-2023,09:26:53,Bernard,King,522 44443 73624 948,GBP,Money Out,368.78
C0EF91E3-76D9-5481-3514-54B75AB019CB,27-10-2023,12:52:35,Janna,Gill,676729 87 5771 8545 266,GBP,Money In,949.94
082A4116-29C3-E3EF-E415-6169CB59CF57,11-10-2023,05:06:39,Martin,Fitzgerald,2149 386444 83664,GBP,Money In,885.10
615BA43B-E44E-B28D-D76D-9773EF979AC4,22-10-2023,02:44:47,Macaulay,Duffy,304755567765534,GBP,Money In,713.92
1741C457-5877-1BA8-2392-4AE6595D9871,04-10-2023,06:21:24,Jamal,Anderson,304753425813257,GBP,Money Out,452.30
